season,team,ydstogo_bin,yardline_bin,go_attempts,go_conv_rate,side,go_faced,go_stop_rate
2023,JAX,2,0-20,1.0,1.0,offense,,
2023,TB,1,21-40,1.0,1.0,offense,,
2023,ATL,1,21-40,4.0,0.75,offense,,
2023,ATL,3-5,0-20,3.0,0.6666666666666666,offense,,
2023,JAX,11+,0-20,2.0,0.0,offense,,
2023,NE,1,21-40,2.0,1.0,offense,,
2023,PHI,1,21-40,4.0,1.0,offense,,
2023,NYG,1,0-20,3.0,1.0,offense,,
2023,LA,1,61-80,1.0,0.0,offense,,
2023,DEN,1,21-40,4.0,0.75,offense,,
2023,NO,1,21-40,2.0,1.0,offense,,
2023,LV,3-5,21-40,4.0,0.0,offense,,
2023,CLE,2,21-40,1.0,0.0,offense,,
2023,ARI,2,61-80,3.0,0.3333333333333333,offense,,
2023,IND,6-10,21-40,2.0,0.0,offense,,
2023,LV,2,21-40,1.0,1.0,offense,,
2023,NE,1,41-60,2.0,0.0,offense,,
2023,NYG,1,21-40,7.0,0.2857142857142857,offense,,
2023,SEA,3-5,21-40,3.0,0.0,offense,,
2023,TB,11+,61-80,1.0,,offense,,
2023,WAS,1,0-20,5.0,0.8,offense,,
2023,PHI,1,41-60,4.0,0.5,offense,,
2023,SF,6-10,21-40,1.0,0.0,offense,,
2023,KC,1,41-60,2.0,0.0,offense,,
2023,NE,3-5,81-100,2.0,0.0,offense,,
2023,LA,1,21-40,3.0,1.0,offense,,
2023,CAR,2,21-40,2.0,0.0,offense,,
2023,NYG,3-5,21-40,2.0,1.0,offense,,
2023,GB,6-10,41-60,3.0,0.0,offense,,
2023,GB,1,21-40,2.0,0.5,offense,,
2023,NO,2,41-60,2.0,0.5,offense,,
2023,NO,3-5,21-40,2.0,0.5,offense,,
2023,LAC,11+,81-100,1.0,1.0,offense,,
2023,LV,3-5,0-20,1.0,1.0,offense,,
2023,CHI,1,61-80,1.0,0.0,offense,,
2023,CHI,2,21-40,1.0,0.0,offense,,
2023,DEN,2,21-40,1.0,0.0,offense,,
2023,LA,2,61-80,1.0,1.0,offense,,
2023,NYG,6-10,21-40,4.0,0.0,offense,,
2023,IND,1,61-80,1.0,0.0,offense,,
2023,MIA,6-10,21-40,1.0,0.0,offense,,
2023,ATL,1,41-60,1.0,1.0,offense,,
2023,SF,3-5,0-20,1.0,0.0,offense,,
2023,NYJ,2,41-60,2.0,0.5,offense,,
2023,TB,3-5,21-40,2.0,0.5,offense,,
2023,TEN,11+,21-40,1.0,,offense,,
2023,HOU,3-5,41-60,2.0,0.0,offense,,
2023,PIT,1,0-20,3.0,0.6666666666666666,offense,,
2023,HOU,2,41-60,2.0,0.0,offense,,
2023,TEN,11+,61-80,1.0,0.0,offense,,
2023,PIT,2,0-20,1.0,0.0,offense,,
2023,TB,1,41-60,1.0,1.0,offense,,
2023,DAL,3-5,41-60,1.0,0.0,offense,,
2023,DET,2,0-20,1.0,1.0,offense,,
2023,MIA,3-5,0-20,2.0,0.0,offense,,
2023,MIA,2,21-40,1.0,1.0,offense,,
2023,WAS,3-5,41-60,1.0,1.0,offense,,
2023,KC,2,61-80,1.0,1.0,offense,,
2023,NO,3-5,41-60,1.0,0.0,offense,,
